"CoNH36_1mM_HPF"
"Wavelength nm."	"Abs."
300.00	0.008
301.00	0.009
302.00	0.010
303.00	0.010
304.00	0.011
305.00	0.012
306.00	0.013
307.00	0.013
308.00	0.014
309.00	0.015
310.00	0.016
311.00	0.017
312.00	0.018
313.00	0.019
314.00	0.021
315.00	0.022
316.00	0.023
317.00	0.024
318.00	0.026
319.00	0.027
320.00	0.028
321.00	0.030
322.00	0.031
323.00	0.033
324.00	0.034
325.00	0.035
326.00	0.037
327.00	0.038
328.00	0.039
329.00	0.040
330.00	0.041
331.00	0.042
332.00	0.043
333.00	0.044
334.00	0.044
335.00	0.045
336.00	0.046
337.00	0.046
338.00	0.046
339.00	0.046
340.00	0.045
341.00	0.046
342.00	0.046
343.00	0.045
344.00	0.044
345.00	0.044
346.00	0.043
347.00	0.042
348.00	0.042
349.00	0.040
350.00	0.039
351.00	0.038
352.00	0.037
353.00	0.035
354.00	0.034
355.00	0.033
356.00	0.031
357.00	0.031
358.00	0.028
359.00	0.027
360.00	0.027
361.00	0.025
362.00	0.023
363.00	0.022
364.00	0.021
365.00	0.020
366.00	0.019
367.00	0.017
368.00	0.016
369.00	0.015
370.00	0.014
371.00	0.013
372.00	0.012
373.00	0.011
374.00	0.011
375.00	0.010
376.00	0.009
377.00	0.009
378.00	0.008
379.00	0.008
380.00	0.008
381.00	0.007
382.00	0.007
383.00	0.007
384.00	0.006
385.00	0.006
386.00	0.006
387.00	0.006
388.00	0.006
389.00	0.006
390.00	0.006
391.00	0.006
392.00	0.006
393.00	0.006
394.00	0.006
395.00	0.007
396.00	0.007
397.00	0.007
398.00	0.007
399.00	0.008
400.00	0.008
401.00	0.008
402.00	0.008
403.00	0.009
404.00	0.009
405.00	0.009
406.00	0.010
407.00	0.010
408.00	0.011
409.00	0.011
410.00	0.011
411.00	0.012
412.00	0.012
413.00	0.013
414.00	0.013
415.00	0.014
416.00	0.014
417.00	0.015
418.00	0.016
419.00	0.016
420.00	0.017
421.00	0.018
422.00	0.018
423.00	0.019
424.00	0.020
425.00	0.020
426.00	0.021
427.00	0.022
428.00	0.023
429.00	0.024
430.00	0.024
431.00	0.025
432.00	0.026
433.00	0.027
434.00	0.028
435.00	0.029
436.00	0.030
437.00	0.030
438.00	0.031
439.00	0.032
440.00	0.033
441.00	0.034
442.00	0.035
443.00	0.036
444.00	0.037
445.00	0.038
446.00	0.039
447.00	0.040
448.00	0.041
449.00	0.042
450.00	0.043
451.00	0.044
452.00	0.045
453.00	0.046
454.00	0.046
455.00	0.047
456.00	0.048
457.00	0.049
458.00	0.050
459.00	0.050
460.00	0.051
461.00	0.052
462.00	0.052
463.00	0.053
464.00	0.053
465.00	0.054
466.00	0.055
467.00	0.055
468.00	0.055
469.00	0.056
470.00	0.056
471.00	0.056
472.00	0.056
473.00	0.056
474.00	0.057
475.00	0.057
476.00	0.056
477.00	0.056
478.00	0.056
479.00	0.056
480.00	0.056
481.00	0.055
482.00	0.055
483.00	0.054
484.00	0.054
485.00	0.053
486.00	0.053
