"CoNH36_3mM_HPF"
"Wavelength nm."	"Abs."
300.00	0.025
301.00	0.027
302.00	0.029
303.00	0.031
304.00	0.033
305.00	0.036
306.00	0.038
307.00	0.041
308.00	0.044
309.00	0.046
310.00	0.050
311.00	0.052
312.00	0.056
313.00	0.059
314.00	0.063
315.00	0.067
316.00	0.071
317.00	0.074
318.00	0.079
319.00	0.083
320.00	0.087
321.00	0.091
322.00	0.096
323.00	0.100
324.00	0.104
325.00	0.109
326.00	0.113
327.00	0.117
328.00	0.120
329.00	0.123
330.00	0.127
331.00	0.130
332.00	0.132
333.00	0.134
334.00	0.137
335.00	0.138
336.00	0.139
337.00	0.140
338.00	0.141
339.00	0.141
340.00	0.141
341.00	0.141
342.00	0.140
343.00	0.139
344.00	0.137
345.00	0.135
346.00	0.133
347.00	0.130
348.00	0.127
349.00	0.124
350.00	0.121
351.00	0.117
352.00	0.113
353.00	0.109
354.00	0.105
355.00	0.101
356.00	0.097
357.00	0.093
358.00	0.088
359.00	0.084
360.00	0.081
361.00	0.076
362.00	0.072
363.00	0.068
364.00	0.064
365.00	0.060
366.00	0.056
367.00	0.053
368.00	0.049
369.00	0.046
370.00	0.042
371.00	0.039
372.00	0.037
373.00	0.034
374.00	0.032
375.00	0.030
376.00	0.028
377.00	0.026
378.00	0.024
379.00	0.023
380.00	0.022
381.00	0.021
382.00	0.020
383.00	0.019
384.00	0.019
385.00	0.018
386.00	0.018
387.00	0.018
388.00	0.018
389.00	0.018
390.00	0.018
391.00	0.018
392.00	0.018
393.00	0.019
394.00	0.019
395.00	0.019
396.00	0.020
397.00	0.021
398.00	0.022
399.00	0.023
400.00	0.023
401.00	0.024
402.00	0.025
403.00	0.026
404.00	0.027
405.00	0.029
406.00	0.030
407.00	0.031
408.00	0.032
409.00	0.033
410.00	0.035
411.00	0.036
412.00	0.038
413.00	0.039
414.00	0.041
415.00	0.042
416.00	0.044
417.00	0.046
418.00	0.048
419.00	0.050
420.00	0.052
421.00	0.054
422.00	0.056
423.00	0.058
424.00	0.060
425.00	0.063
426.00	0.065
427.00	0.067
428.00	0.070
429.00	0.072
430.00	0.075
431.00	0.077
432.00	0.080
433.00	0.082
434.00	0.085
435.00	0.088
436.00	0.091
437.00	0.093
438.00	0.096
439.00	0.099
440.00	0.102
441.00	0.105
442.00	0.108
443.00	0.111
444.00	0.114
445.00	0.117
446.00	0.120
447.00	0.123
448.00	0.126
449.00	0.129
450.00	0.132
451.00	0.135
452.00	0.138
453.00	0.141
454.00	0.143
455.00	0.146
456.00	0.148
457.00	0.151
458.00	0.153
459.00	0.155
460.00	0.158
461.00	0.160
462.00	0.161
463.00	0.163
464.00	0.165
465.00	0.167
466.00	0.168
467.00	0.169
468.00	0.171
469.00	0.171
470.00	0.172
471.00	0.173
472.00	0.174
473.00	0.174
474.00	0.174
475.00	0.174
476.00	0.174
477.00	0.174
478.00	0.173
479.00	0.172
480.00	0.172
481.00	0.171
482.00	0.169
483.00	0.168
484.00	0.167
485.00	0.165
486.00	0.163
487.00	0.162
488.00	0.160
489.00	0.157
490.00	0.155
491.00	0.153
492.00	0.151
493.00	0.148
494.00	0.145
495.00	0.142
496.00	0.139
497.00	0.136
498.00	0.133
499.00	0.130
500.00	0.127
501.00	0.123
502.00	0.120
503.00	0.117
504.00	0.114
505.00	0.110
506.00	0.107
507.00	0.104
508.00	0.101
509.00	0.098
510.00	0.094
511.00	0.091
512.00	0.088
513.00	0.085
514.00	0.082
515.00	0.079
516.00	0.076
517.00	0.073
518.00	0.070
519.00	0.067
520.00	0.064
521.00	0.061
522.00	0.058
523.00	0.056
524.00	0.053
525.00	0.050
526.00	0.048
527.00	0.046
528.00	0.043
529.00	0.041
530.00	0.039
531.00	0.037
532.00	0.035
533.00	0.033
534.00	0.032
535.00	0.030
536.00	0.029
537.00	0.027
538.00	0.026
539.00	0.025
540.00	0.023
541.00	0.022
542.00	0.021
543.00	0.019
544.00	0.018
545.00	0.017
546.00	0.016
547.00	0.015
548.00	0.015
549.00	0.014
550.00	0.013
551.00	0.012
552.00	0.012
553.00	0.011
554.00	0.010
555.00	0.010
556.00	0.009
557.00	0.009
558.00	0.009
559.00	0.008
560.00	0.008
561.00	0.007
562.00	0.007
563.00	0.007
564.00	0.006
565.00	0.006
566.00	0.006
567.00	0.006
568.00	0.005
569.00	0.005
570.00	0.005
571.00	0.005
572.00	0.005
573.00	0.005
574.00	0.004
575.00	0.004
576.00	0.004
577.00	0.004
578.00	0.004
579.00	0.004
580.00	0.004
581.00	0.004
582.00	0.004
583.00	0.003
584.00	0.003
585.00	0.003
586.00	0.003
587.00	0.003
588.00	0.003
589.00	0.003
590.00	0.003
591.00	0.003
592.00	0.003
593.00	0.003
594.00	0.003
595.00	0.002
596.00	0.003
597.00	0.003
598.00	0.003
599.00	0.003
600.00	0.002
601.00	0.002
602.00	0.002
603.00	0.003
604.00	0.002
605.00	0.002
606.00	0.002
607.00	0.002
608.00	0.002
609.00	0.002
610.00	0.002
611.00	0.002
612.00	0.002
613.00	0.002
614.00	0.002
615.00	0.002
616.00	0.002
617.00	0.002
618.00	0.002
619.00	0.002
620.00	0.002
621.00	0.002
622.00	0.002
623.00	0.002
624.00	0.002
625.00	0.002
626.00	0.002
627.00	0.002
628.00	0.002
629.00	0.001
630.00	0.001
631.00	0.002
632.00	0.002
633.00	0.002
634.00	0.002
635.00	0.001
636.00	0.001
637.00	0.001
638.00	0.002
639.00	0.002
640.00	0.001
641.00	0.001
642.00	0.001
643.00	0.001
644.00	0.001
645.00	0.002
646.00	0.002
647.00	0.001
648.00	0.001
649.00	0.001
650.00	0.001
651.00	0.002
652.00	0.002
653.00	0.001
654.00	0.001
655.00	0.001
656.00	0.001
657.00	0.001
658.00	0.002
659.00	0.001
660.00	0.001
661.00	0.001
662.00	0.001
663.00	0.001
664.00	0.001
665.00	0.001
666.00	0.001
667.00	0.001
668.00	0.001
669.00	0.001
670.00	0.001
671.00	0.001
672.00	0.001
673.00	0.001
674.00	0.001
675.00	0.001
676.00	0.001
677.00	0.001
678.00	0.001
679.00	0.001
680.00	0.001
681.00	0.001
682.00	0.001
683.00	0.001
684.00	0.001
685.00	0.001
686.00	0.001
687.00	0.001
688.00	0.001
689.00	0.001
690.00	0.001
691.00	0.001
692.00	0.001
693.00	0.001
694.00	0.001
695.00	0.001
696.00	0.001
697.00	0.001
698.00	0.001
699.00	0.001
700.00	0.001
701.00	0.001
702.00	0.001
703.00	0.001
704.00	0.001
705.00	0.001
706.00	0.001
707.00	0.001
708.00	0.001
709.00	0.001
710.00	0.001
711.00	0.001
712.00	0.001
713.00	0.001
714.00	0.001
715.00	0.001
716.00	0.001
717.00	0.001
718.00	0.001
719.00	0.001
720.00	0.001
721.00	0.001
722.00	0.001
723.00	0.001
724.00	0.001
725.00	0.001
726.00	0.001
